id,category,prompt,option_a,option_b,option_c,option_d,option_e,correct_index,explanation,difficulty
q-08-04-2,m08-pneumatikschaltplan,Wie liest du Symbole im Pneumatikplan?,Nur Farben zaehlen.,Plaene ohne Legende lesen.,Pneumatik hat keine Symbole.,"Nach ISO/DIN-Symbolen fuer Ventile, Zylinder und Leitungen.",Symbole sind frei erfunden ohne Bedeutung.,3,Normsymbole sind Grundlage der technischen Kommunikation.,2
q-08-05-1,m08-druck-und-sicherheit,Welcher Druck ist in vielen Betrieben typisch?,"0,6 bar ohne Regelung.",Druck spielt keine Rolle.,Nur Vakuum.,"Ca. 6 bar im Netz, ggf. reduziert an der Wartungseinheit.",600 bar Standard.,3,Zu hoher Druck gefaehrdet Komponenten; Regelung ist noetig.,2
q-08-05-2,m08-druck-und-sicherheit,Was ist vor Wartung an Druckluftanlagen Pflicht?,Not-Halt ueberbruecken.,Ohne Freigabe arbeiten.,Anlage entlueften und spannungsfrei schalten.,Unter Druck ausbauen.,Leitungen oeffnen ohne Schutz.,2,Restdruck und unbeabsichtigtes Einschalten sind Gefahren.,2
q-08-06-1,m08-pneumatik-wartung,Was gehoert zur Pneumatik-Wartung?,Leitungen undicht lassen.,Oel in Zylinder fuellen ohne Vorgabe.,"Filter pruefen, Dichtungen kontrollieren, Entwaesserung.",Nur Lackieren.,Ventile ohne Pruefung tauschen.,2,Regelmaessige Wartung sichert Betriebsbereitschaft.,2
q-08-06-2,m08-pneumatik-wartung,Worauf deutet ein Leck in der Druckluftleitung?,Nur bessere Kuehlung.,"Druckverlust, Zischgeraeusch und schwaecherer Zylinder.",Hoeherer Druck automatisch.,Bessere Funktion.,Kein Einfluss.,1,Lecks verschwenden Energie und stoeren Prozesse.,2
q-08-07-1,m08-funktionskontrolle,Wie pruefst du die Funktion eines Zylinders?,Nur elektrisch messen.,Ein- und Ausfahren unter Beobachtung von Geschwindigkeit und Endlagen.,Nur optisch ohne Bewegung.,Mit Hammer schlagen.,Ohne Druck testen.,1,Funktionskontrolle erkennt Undichtigkeiten und Blockaden.,2
q-08-07-2,m08-funktionskontrolle,Was bedeutet langsames Ausfahren des Zylinders?,"Moegliche Drosselung, Leck oder zu niedriger Druck.",Immer Normalzustand.,Zeichen fuer zu hohen Druck.,Grund zum Sofort-Ausschalten des Netzes.,Nur Softwarefehler ohne Pneumatik.,0,Abweichende Geschwindigkeit ist Stoerungsindikator.,2
q-08-08-1,m08-stoerungen-pneumatik,Zylinder faehrt nicht aus. Erste Pruefung?,Druck vorhanden? Ventil geschaltet? Endlage frei?,Sofort Zylinder ersetzen.,Maschine ueberlasten.,Schaltplan ignorieren.,Not-Halt dauerhaft ueberbruecken.,0,Systematische Fehlersuche beginnt bei Energie und Steuerung.,2
q-08-08-2,m08-stoerungen-pneumatik,Ventil schaltet nicht. Moegliche Ursache?,Zu viel Kuehlmittel am Fraeser.,Falsche Werkstoffwahl.,Messschieber defekt.,Berichtsheft nicht gefuehrt.,"Spule defekt, Steuerluft fehlt oder Verschmutzung.",4,Elektrische und pneumatische Signale muessen geprueft werden.,2
q-08-09-1,m08-bze-pneumatik,Was lernst du in der BZE Pneumatik?,Nur Buchhaltung.,Nur Holzbearbeitung.,Nur Gaertnerei.,Keine praktischen Uebungen.,"Grundschaltungen, Symbole und sichere Inbetriebnahme.",4,BZE vertieft Grundlagen aus Betrieb und Berufsschule.,2
q-08-09-2,m08-bze-pneumatik,Warum ist Pneumatik im MAF-Alltag relevant?,Keine Anlage nutzt Druckluft.,Nur fuer Autoreifen.,Ersetzt komplette Ausbildung.,"Viele Anlagen nutzen Druckluft fuer Spannung, Transport und Steuerung.",Pneumatik nur in Bueros.,3,MAF bedienen und warten Anlagen mit pneumatischen Antrieben.,2
q-08-10-1,m08-pruefungsaufgaben-pneumatik,Pruefungsfrage: 5/2-Wege-Ventil - wofuer?,Schweissen von Alu.,Dokumentation von Urlaub.,Steuerung doppelt wirkender Zylinder.,Temperaturmessung.,Gewindeschneiden.,2,Wegeventile sind Standardthema in Pneumatikpruefungen.,2
q-08-10-2,m08-pruefungsaufgaben-pneumatik,Was ist bei PAL-Fragen zur Pneumatik wichtig?,Alle Antworten waehlen.,"Symbole, Druckweg und sichere Wartung zuordnen.",Nur Farbe der Schlaeuche.,Druck immer ignorieren.,Not-Halt ueberbruecken.,1,Fachlich korrekte Zuordnung von Komponenten und Sicherheit zaehlt.,2
q-09-01-1,m09-drehmaschine,Was ist die Hauptbewegung beim Laengsdrehen?,Keine Bewegung noetig.,Rotationsbewegung des Werkstuecks.,Nur lineare Werkzeugbewegung.,Schlagbewegung des Amboss.,Rein manuelles Feilen.,1,"Beim Drehen rotiert das Werkstueck, das Werkzeug federt.",2
q-09-01-2,m09-drehmaschine,Wofuer nutzt du eine Drehmaschine?,Runde Bauteile durch spanende Bearbeitung herstellen.,Nur Bleche biegen.,Nur Kunststoff spritzen.,Nur Schrauben einkaufen.,Nur messen.,0,Drehmaschinen bearbeiten rotationssymmetrische Teile.,2
q-09-02-1,m09-fraesmaschine,Was ist typisch fuer das Fraesen?,Rotierendes Werkzeug bearbeitet meist ruhendes Werkstueck.,Werkstueck rotiert immer.,Kein Span entsteht.,Nur Handsaege.,Nur fuer Kunststoff verboten.,0,Fraeser erzeugen ebene oder konturierte Flaechen.,2
q-09-02-2,m09-fraesmaschine,Welche Fraeserart eignet sich fuer Taschen?,Gewindebohrer.,Reibahle.,Messschieber.,Schraubendreher.,Schaftfraeser.,4,Schaftfraeser werden fuer Konturen und Taschen eingesetzt.,2
q-09-03-1,m09-schneidstoffe,Welcher Schneidstoff ist fuer Stahl haeufig?,Holzscheiben.,Gummi.,Pappe.,Wasser allein.,HSS oder Hartmetall.,4,HSS und HM sind Standard bei spanender Metallbearbeitung.,2
q-09-03-2,m09-schneidstoffe,Warum Hartmetall bei hoher Schnittgeschwindigkeit?,Weil es nicht schneidet.,Weil es rostet schneller.,Weil es billiger als Holz ist.,Hohe Waermehaerte und Verschleissfestigkeit.,Weil es weicher ist.,3,Hartmetall traegt hohe Temperaturen an der Schnittstelle.,2
q-09-04-1,m09-vorschub-und-drehzahl,Was beschreibt die Drehzahl n?,Druck der Pneumatik.,Temperatur in K.,Gewicht in N.,Umdrehungen des Werkstuecks oder Werkzeugs pro Minute.,Vorschub in bar.,3,n und Vorschub f bestimmen die Schnittgeschwindigkeit.,2
q-09-04-2,m09-vorschub-und-drehzahl,Was passiert bei zu hoher Drehzahl?,Werkzeug wird weicher.,Maschine wird langsamer.,"Uebermaessige Waerme, Verschleiss oder Werkzeugbruch.",Immer bessere Oberflaeche.,Kein Einfluss.,2,Parameter muessen zu Werkstoff und Werkzeug passen.,2
q-09-05-1,m09-kuehlmittel-spanend,Wozu dient Kuehlschmierstoff beim Fraesen?,Toleranz automatisch einhalten.,Werkzeug ersetzen.,"Kuehlen, schmieren und Span foerdern.",Nur Farbe geben.,Elektrisch isolieren.,2,KSS verbessert Oberflaeche und Standzeit.,2
q-09-05-2,m09-kuehlmittel-spanend,Was ist vor Wechsel des Kuehlmittels zu beachten?,Ohne Dokumentation wechseln.,Vertraeglichkeit laut Maschinenhersteller und Entsorgung.,Beliebig mischen.,Im Abfluss entsorgen.,Mit Essen vermischen.,1,Falscher KSS kann Maschine und Werkstueck schaedigen.,2
q-09-06-1,m09-werkzeugauswahl-spanend,Wie waehlst du einen Fraeser?,Verschlissenes Werkzeug bevorzugen.,"Nach Werkstoff, Aufgabe, Maschine und Oberflaechenanforderung.",Immer groesster Durchmesser.,Nur nach Farbe.,Ohne Zeichnung.,1,Werkzeugwahl folgt aus technischer Vorgabe.,2
q-09-06-2,m09-werkzeugauswahl-spanend,Welches Werkzeug fuer eine Innengewindebohrung?,Gewindebohrer passender Groesse.,Kugelfraeser.,Aussenreibahle.,Stechdrehmeissel allein.,Schleifscheibe fuer Gewinde.,0,Innengewinde werden mit Gewindebohrern geschnitten.,2
q-09-07-1,m09-prozessparameter,Was ist die Schnitttiefe ap?,Mass der Zustellung senkrecht zur Schnittebene.,Vorschub in mm/U allein.,Drehzahl in bar.,Druck der Zufuehrung.,Temperatur der Halle.,0,"ap, f und vc beeinflussen Prozess und Qualitaet.",2
q-09-07-2,m09-prozessparameter,Warum Prozessparameter dokumentieren?,Nur Dekoration.,Parameter sind egal.,QS nicht informieren.,Maschine lernt selbst.,Reproduzierbarkeit und Fehleranalyse.,4,Dokumentation sichert gleichbleibende Qualitaet.,2
q-09-08-1,m09-spanabfall,Wie entsorgst du Metallspaene?,Mit Oel in Papierkorb.,Auf dem Boden verteilen.,In Kuehlmittel mischen.,In Werkstatt verbrennen.,Getrennt sammeln und recyclinggerecht abgeben.,4,Saubere Trennung ermoeglicht Recycling.,2
q-09-08-2,m09-spanabfall,Warum Spanfoerderung an Maschinen?,Span absichtlich stauen.,Kuehlmittel blockieren.,Werkzeug kuehlen verhindern.,Arbeitsplatz sauber halten und Stoerungen vermeiden.,Nur Laerm erzeugen.,3,Spanfoerderer verbessern Sicherheit und Verfuegbarkeit.,2
q-09-09-1,m09-bze-drehen-fraesen,Was uebst du in der BZE fuer spanende Verfahren?,Nur Kantinenkunde.,Nur Buchhaltung.,Kein Messen.,"Einrichten, Bedienen und Pruefen an Lehrmaschinen.",Nur Theorie ohne Maschine.,3,BZE verbindet Theorie mit praktischer Maschinenarbeit.,2
q-09-09-2,m09-bze-drehen-fraesen,Warum sind BZE-Kurse fuer MAF wichtig?,Nur fuer Meister.,Ohne Bezug zum Beruf.,Vertiefung sicherer maschineller Fertigung ausserhalb des Betriebs.,Nur Freizeitangebot.,Ersetzt Betriebsausbildung vollstaendig.,2,UeLU ergaenzt betriebliche Ausbildung strukturiert.,2
q-09-10-1,m09-pruefungsaufgaben-spanend,Pruefung: n und f - was wird geprueft?,Zeichnung ignorieren.,"Zusammenhang zu Werkstoff, Werkzeug und Maschine.",Nur Farbe des Kuehlmittels.,Nur Schuhgroesse.,Parameter immer gleich.,1,Parameteraufgaben testen Fachverstaendnis.,2
q-09-10-2,m09-pruefungsaufgaben-spanend,Typische PAL-Frage Drehen/Fraesen?,Richtige Werkzeug- oder Parameterwahl begruenden.,Immer groesstes Werkzeug.,Sicherheit ignorieren.,Mehrere Antworten markieren.,Ohne Lesen raten.,0,Pruefungen verlangen sichere fachliche Entscheidung.,2
q-10-01-1,m10-metallgrundlagen,Was unterscheidet Stahl von Gusseisen?,Stahl ist immer Kunststoff.,Kein Unterschied.,Gusseisen ist immer weich.,Stahl schmilzt bei Raumtemperatur.,"Hoeherer Kohlenstoffgehalt beim Gusseisen, sproederes Verhalten.",4,Werkstoffkenntnis steuert Bearbeitung und Anwendung.,2
q-10-01-2,m10-metallgrundlagen,Warum Waermebehandlung von Stahl?,Gewicht halbieren.,Magnetismus immer entfernen.,Toleranz ersetzen.,Eigenschaften wie Haerte und Zaehigkeit einstellen.,Nur Farbe aendern.,3,Waermebehandlung passt Werkstoff an den Einsatz an.,2
q-10-02-1,m10-metallbearbeitung-planen,Was planst du vor Metallbearbeitung?,Ohne Zeichnung.,Keine Pruefpunkte.,Sicherheit spaeter.,"Werkstoff, Verfahren, Werkzeug, Maschine und Pruefung.",Nur Pause.,3,Planung verhindert Fehler und Ausschuss.,2
q-10-02-2,m10-metallbearbeitung-planen,Welches Verfahren fuer enge Toleranz an Bohrung?,Lackieren.,Schweissen der Bohrung.,Reiben oder Feinbohren nach Vorbohren.,Nur Grobsaegen.,Nur Feilen ohne Mass.,2,Bearbeitungsfolge richtet sich nach Qualitaetsanforderung.,2
q-10-03-1,m10-oberflaechenqualitaet,Was bedeutet Ra an der Oberflaeche?,Druck in bar.,Gewicht in kg.,Arithmetischer Mittelwert der Rauheit.,Haerte in HRC.,Drehzahl.,2,Oberflaechenparameter sind in Zeichnungen angegeben.,2
q-10-03-2,m10-oberflaechenqualitaet,Wie erreichst du feinere Oberflaeche beim Drehen?,Maschine ohne Spannung.,"Kleinere Zustellung, passende Drehzahl und scharfes Werkzeug.",Hoechste Zustellung.,Stumpfes Werkzeug.,Ohne Kuehlmittel bei Stahl.,1,Schnittparameter und Werkzeugzustand beeinflussen Oberflaeche.,2
q-10-04-1,m10-arbeitsfolge-metall,Typische Folge fuer Bohrung mit Gewinde?,Entgraten vor Bohren verboten.,"Zentrieren, bohren, senken, gewindeschneiden, entgraten.",Gewinde vor Bohrung.,Nur senken.,Ohne Zentrierung immer.,1,Logische Abfolge sichert Mass und Funktion.,2
q-10-04-2,m10-arbeitsfolge-metall,Was kommt nach dem Fraesen oft?,"Entgraten, messen, dokumentieren.",Verpacken vor Pruefung.,Lackieren vor Masspruefung.,Zeichnung wegwerfen.,Maschine ohne Reinigung weiter.,0,Nachbearbeitung und Pruefung sichern Qualitaet.,2
q-10-05-1,m10-werkzeugwahl-metall,Welches Werkzeug fuer Grobbearbeitung Stahl?,Hartmetallfraeser mit passender Geometrie.,Holzfeile.,Pinsel.,Gummihammer.,Messschieber.,0,Grobbearbeitung erfordert robuste Schneidstoffe.,2
q-10-05-2,m10-werkzeugwahl-metall,Warum Schneidstoffwechsel bei unterschiedlichen Werkstoffen?,Alle Werkstoffe gleich.,Nur Farbe zaehlt.,HSS fuer alles immer.,Werkzeug spielt keine Rolle.,Verschiedene Werkstoffe erfordern unterschiedliche Schneidgeometrie und Geschwindigkeit.,4,Falsches Werkzeug fuehrt zu Verschleiss und Ausschuss.,2
q-10-06-1,m10-pruefen-nach-bearbeitung,Was pruefst du nach Metallbearbeitung?,Nur Gewicht.,Nur Farbe.,Gar nichts.,Nur Geruch.,"Masse, Form und Oberflaeche gemaess Zeichnung.",4,Ergebnispruefung ist Pflicht vor Freigabe.,2
q-10-06-2,m10-pruefen-nach-bearbeitung,"Teil ist 0,05 mm zu gross. Vorgehen?",Ohne Dokumentation weitergeben.,Zeichnung aendern.,Teil verstecken.,"Ursache klaeren, Nacharbeit oder Meldung an QS.",Toleranz selbst erweitern.,3,Abweichungen muessen bewertet und dokumentiert werden.,2
q-10-07-1,m10-grundbildung-metall-bze,Was lernst du in Grundbildung Metall BZE?,Nur Sprachkurs.,Kein Messen.,Keine Maschinen.,"Manuelle und maschinelle Techniken, Werkstoffe, Sicherheit.",Nur Theorie ohne Werkstueck.,3,BZE Metall vertieft praktische Fertigkeiten.,2
q-10-07-2,m10-grundbildung-metall-bze,Warum manuelle Uebungen vor Maschine?,Weil Zeichnungen entfallen.,Weil SHU egal ist.,"Grundgefuehl fuer Material, Werkzeug und Mass.",Weil Maschinen verboten sind.,Nur Zeit fuellen.,2,Handwerkliche Basis verbessert Maschinenbedienung.,2
q-10-08-1,m10-qualitaet-manuell,Worauf achtest du bei manueller Metallbearbeitung?,Ohne Schutz.,Ohne Plan.,"Massgenauigkeit, Gratfreiheit, sichere Spannung.",Nur Geschwindigkeit.,Grate stehen lassen.,2,Qualitaet beginnt bei sicherer manueller Arbeit.,2
q-10-08-2,m10-qualitaet-manuell,Wie erkennst du schlechte Passung?,Ohne Lehre nie erkennbar.,"Bauteil passt nicht, Spiel zu gross oder zu klein.",Nur nach Farbe.,Passung ist egal.,Nur nach Gewicht.,1,Passungen werden mit Lehren oder Messung geprueft.,2
q-10-09-1,m10-sicherheit-metall,Welche Gefahr beim spanenden Bearbeiten?,Nur bei Kunststoff.,"Schnittverletzung, Spanflug, Quetschen.",Nur Sonnenbrand.,Keine Gefahr bei Metall.,Nur Laerm ohne Schutz.,1,PSA und Schutzeinrichtungen sind Pflicht.,2
q-10-09-2,m10-sicherheit-metall,Was ist vor Maschinenstart Pflicht?,Schutzeinrichtungen pruefen und Einweisung beachten.,Sofort Vollast.,Schutztuer offen lassen.,Not-Halt ueberbruecken.,Werkzeug ohne Pruefung.,0,Sicherheit hat Vorrang vor Produktion.,2
q-10-10-1,m10-pruefungsaufgaben-metall,Pruefungsfrage Metall: Werkstoff zuordnen?,Nur nach Farbe.,Alle Metalle gleich.,Zeichnung ignorieren.,Immer Stahl waehlen.,Eigenschaften und Anwendung verknuepfen.,4,Werkstofffragen testen Fachwissen und Anwendung.,2
q-10-10-2,m10-pruefungsaufgaben-metall,PAL-Metallaufgabe: sicherste Variante?,Schutz ignorieren.,Mehrere Antworten.,Toleranz egal.,"Unterlagen lesen, PSA, geprueftes Werkzeug, dokumentieren.",Schnell ohne Plan.,3,Pruefungen belohnen sicheres fachliches Vorgehen.,2
q-11-01-1,m11-materialfluss,Was ist Materialfluss in der Produktion?,Nur Buchhaltung.,Nur Marketing.,Keine Bewegung noetig.,Bewegung von Material vom Eingang bis zum Fertigteil.,Nur Urlaubsplanung.,3,"Materialfluss verbindet Lager, Fertigung und Versand.",2
q-11-01-2,m11-materialfluss,Warum ist Materialfluss fuer MAF relevant?,Produktion unabhaengig vom Material.,Fluss ist nur Theorie.,Rechtzeitige Bereitstellung sichert Produktion ohne Stillstand.,Nur fuer Lagerleiter.,Material kommt von selbst.,2,MAF brauchen Material und Werkzeuge am Arbeitsplatz.,2
q-11-02-1,m11-transport-und-lager,Was gehoert zum sicheren Transport schwerer Teile?,Ohne Pruefung heben.,Schnelles Rennen mit Last.,"Hebezeug, Anschnuerung und freie Wege.",Tragen ohne Hilfsmittel allein.,Fluchtwege blockieren.,2,Transportregeln verhindern Quetsch- und Sturzunfaelle.,2
q-11-02-2,m11-transport-und-lager,Wie lagert man Metallprofile sicher?,Nur auf einer Ecke balancieren.,"Formstabile Lagerung, Kennzeichnung, keine Ueberladung.",Stapel beliebig hoch ohne Sicherung.,Auf Gangwegen lagern.,Ohne Kennzeichnung mischen.,1,Ordnung und Kennzeichnung verhindern Verwechslung und Unfaelle.,2
q-11-03-1,m11-bereitstellung,Was bedeutet Bereitstellung am Arbeitsplatz?,Ohne Plan arbeiten.,"Material, Werkzeug und Unterlagen rechtzeitig verfuegbar.",Nur Maschine starten.,Material irgendwo suchen.,Zeichnung spaeter holen.,1,Bereitstellung ist Teil der Arbeitsplanung.,2
q-11-03-2,m11-bereitstellung,Was passiert ohne rechtzeitige Bereitstellung?,"Stillstand, Fehlplanung und Terminverzug.",Produktion wird automatisch schneller.,Qualitaet steigt.,Kein Einfluss.,Maschine braucht kein Material.,0,Fehlendes Material stoppt Fertigung.,2
q-11-04-1,m11-fifo-prinzip,Was bedeutet FIFO?,First In - First Out: aelteres Material zuerst verbrauchen.,Last In - First Out immer.,Nur fuer Essen.,Material beliebig mischen.,Keine Regel noetig.,0,FIFO verhindert Veraltung und Materialfehler.,2
q-11-04-2,m11-fifo-prinzip,Warum FIFO bei Kunststoffgranulat?,FIFO ist nur fuer Metalle.,Reihenfolge egal.,Granulat verdirbt nie.,Nur Buchhaltungsthema.,Vermeidet Feuchte- und Qualitaetsprobleme bei Lagerung.,4,Lagerdauer und Feuchte koennen Verarbeitung beeinflussen.,2
q-11-05-1,m11-stoerungen-materialfluss,Typische Stoerung im Materialfluss?,Zu saubere Halle.,Zu gute Kennzeichnung.,Zu viel Licht.,Zu gute Planung.,"Fehlteile, falsches Material oder blockierte Wege.",4,Stoerungen muessen erkannt und gemeldet werden.,2
q-11-05-2,m11-stoerungen-materialfluss,Wie reagierst du auf fehlendes Material?,Schweigen und warten.,Maschine ohne Material belasten.,Auftrag ignorieren.,"Melden, alternative Planung abstimmen, nicht improvisieren ohne Freigabe.",Falsches Material heimlich nutzen.,3,Kommunikation verhindert Fehlproduktion.,2
q-11-06-1,m11-schnittstellen-produktion,Was ist eine Schnittstelle zur Produktion?,Nur Pause.,Nur Softwarespiel.,Keine Uebergabe noetig.,"Uebergabe zwischen Lager, Fertigung und Versand.",Nur Fenster.,3,Klare Schnittstellen sichern Informationsfluss.,2
q-11-06-2,m11-schnittstellen-produktion,Was gehoert in Uebergabe an naechste Schicht?,Private Termine.,Nur Wetter.,"Materialstand, offene Auftraege, Stoerungen.",Nur Witze.,Nichts.,2,Vollstaendige Uebergabe verhindert Fehler.,2
q-11-07-1,m11-anlagenumfeld,Was gehoert zum Anlagenumfeld?,PSA verbieten.,Unordnung akzeptieren.,"Ordnung, freie Wege, Kennzeichnung, Sicherheitsausstattung.",Material auf Fluchtweg.,Lecks ignorieren.,2,Sauberes Umfeld unterstuetzt sichere Produktion.,2
q-11-07-2,m11-anlagenumfeld,Warum freie Fluchtwege im Produktionsbereich?,Wege duerfen blockiert sein.,Schnelle Evakuuation bei Notfall.,Nur Dekoration.,Fluchtwege als Lager.,Notfall egal.,1,Flucht- und Rettungswege sind gesetzlich vorgeschrieben.,2
q-11-08-1,m11-kommissionierung,Was ist Kommissionierung?,Nur Feilen.,Zusammenstellen benoetigter Materialien fuer einen Auftrag.,Nur Maschine einstellen.,Nur Urlaub planen.,Nur Schweissen.,1,Kommissionierung bereitet Fertigung vor.,2
q-11-08-2,m11-kommissionierung,Was pruefst du bei Kommissionierung?,"Artikel, Menge und Kennzeichnung zum Auftrag.",Nur Farbe.,Nur Gewicht schaetzen.,Nichts.,Nur schnell sein.,0,Falsche Kommissionierung fuehrt zu Fehlteilen.,2
q-11-09-1,m11-logistik-im-betrieb,Was gehoert zur Logistik im Betrieb?,"Transport, Lagerung, Bereitstellung, Rueckmeldung.",Nur Design.,Nur Marketing.,Nur IT ohne Material.,Nur Kantine.,0,Logistik verbindet Einkauf und Produktion.,2
q-11-09-2,m11-logistik-im-betrieb,Warum Rueckmeldung nach Entnahme aus Lager?,Rueckmeldung optional.,Bestand egal.,Nur einmal im Jahr zaehlen.,Lager ohne System.,Bestand aktuell halten und Nachbestellung ausloesen.,4,Aktuelle Bestandsdaten verhindern Fehlteile.,2
q-11-10-1,m11-pruefungsaufgaben-materialfluss,Pruefungsfrage Materialfluss?,FIFO ignorieren.,Sicherheit ausklammern.,Transport ohne Regeln.,"Sinnvolle Reihenfolge von Bereitstellung, Fertigung, Pruefung.",Material egal.,3,Pruefungen testen logistisches Verstaendnis.,2
q-11-10-2,m11-pruefungsaufgaben-materialfluss,PAL-Logistik: sicherste Massnahme bei blockiertem Weg?,Schweigen.,Schnell rennen mit Last.,"Weg raeumen, melden, Transport verschieben bis frei.",Ueber Hindernis heben ohne Plan.,Fluchtweg dauerhaft blockieren.,2,Sichere Transportwege haben Prioritaet.,2
q-12-01-1,m12-zwischenpruefung-theorie,Wann findet die Zwischenpruefung beim MAF statt?,Nur nach Abschluss.,Nie in Metall/Kunststoff.,Zu Beginn des zweiten Ausbildungsjahres nach den ersten 12 Monaten.,Am ersten Tag.,Nach 6 Monaten ohne Inhalt.,2,Die ZP bezieht sich auf den Lernstoff des ersten Ausbildungsjahres.,2
q-12-01-2,m12-zwischenpruefung-theorie,Welche Pruefungsformen kann die ZP haben?,Keine Pruefung.,Schriftlich und praktisch gemaess Ausbildungsordnung.,Nur muendlich ohne Praxis.,Nur Berichtsheft.,Nur Sport.,1,ZP prueft Theorie und praktische Fertigkeiten.,2
q-12-02-1,m12-positionieren-und-vorbereiten,Was bedeutet Positionieren in der praktischen ZP?,Nur messen ohne Aufspannen.,Werkstueck richtig ausrichten und sicher einspannen.,Maschine ohne Plan starten.,Zeichnung ignorieren.,Ohne Spannung arbeiten.,1,Positionieren ist Grundlage korrekter Bearbeitung.,2
q-12-02-2,m12-positionieren-und-vorbereiten,Was gehoert zur Vorbereitung vor Bearbeitung?,"Unterlagen lesen, Material pruefen, Werkzeug bereitstellen.",Sofort spanen.,Sicherheit spaeter.,Kein Werkzeug noetig.,Auftrag nicht lesen.,0,Vorbereitung reduziert Fehler in der Pruefung.,2
q-12-03-1,m12-einstellen-und-pruefen,Was pruefst du nach dem Einstellen der Maschine?,"Probelauf, Masse und Oberflaeche am ersten Teil.",Serie ohne Pruefung.,Nur Geschwindigkeit erhoehen.,Protokoll weglassen.,Erstes Teil entsorgen ohne Messung.,0,Erstteilpruefung sichert Prozess vor Serienfertigung.,2
q-12-03-2,m12-einstellen-und-pruefen,Erstes Teil ist n.i.O. Was tun?,Serie weiterfahren.,Toleranz selbst erweitern.,Pruefer nicht informieren.,Maschine unveraendert lassen.,"Parameter oder Aufspannung korrigieren, erneut pruefen.",4,Korrektur vor Freigabe ist Pflicht.,2
q-12-04-1,m12-technische-unterlagen-zp,Welche Unterlagen brauchst du in der praktischen ZP?,Nur Handy.,Keine Unterlagen.,Nur Berichtsheft.,Nur Wetter-App.,"Zeichnung, Arbeitsplan, Pruefvorgaben.",4,Technische Unterlagen steuern Bearbeitung und Pruefung.,2
q-12-04-2,m12-technische-unterlagen-zp,Was ist bei Massangaben in der ZP wichtig?,Nur schaetzen.,Defektes Messgeraet nutzen.,Nur Sichtpruefung immer.,Toleranzen genau lesen und mit passendem Mittel pruefen.,Toleranz ignorieren.,3,Massgenauigkeit ist zentraler Pruefungsbestandteil.,2
q-12-05-1,m12-sicherheit-zp,Welche Sicherheitsregeln gelten in der praktischen ZP?,Not-Halt ueberbruecken.,Maschine ohne Einweisung.,Schutztuer offen.,"PSA, Schutzeinrichtungen, Betriebsanweisungen einhalten.",Schutz optional.,3,Sicherheitsverstoesse koennen zum Abbruch fuehren.,2
q-12-05-2,m12-sicherheit-zp,Darfst du in der ZP allein an unbekannter Maschine arbeiten?,Maschinenbuch ignorieren.,Sicherheit nur in Betrieb.,Nur nach Einweisung und Freigabe.,Immer ohne Einweisung.,Wenn Pruefer nicht schaut.,2,Einweisung ist Voraussetzung fuer sicheres Arbeiten.,2
q-12-06-1,m12-praktische-zp-situationen,Praktische ZP-Situation: Zeit wird knapp. Vorgehen?,Aufgeben ohne Meldung.,Chaos produzieren.,"Prioritaeten setzen, sicher arbeiten, Pruefer informieren.",Sicherheit opfern.,Qualitaet ignorieren.,2,Strukturiertes Vorgehen auch unter Zeitdruck.,2
q-12-06-2,m12-praktische-zp-situationen,Was dokumentierst du in der praktischen ZP?,Private Notizen.,Messwerte und Ergebnisse gemaess Vorgabe.,Nichts.,Nur Unterschrift.,Falsche Werte.,1,Nachvollziehbare Dokumentation ist Teil der Bewertung.,2
q-12-07-1,m12-zeitmanagement-zp,Wie planst du Zeit in der praktischen ZP?,Pause maximieren.,"Arbeitsschritte einteilen, Puffer fuer Messen einplanen.",Alles ans Ende schieben.,Ohne Plan starten.,Messung weglassen.,1,Zeitmanagement verhindert Hektik und Fehler.,2
q-12-07-2,m12-zeitmanagement-zp,Was tust du bei unklarer Pruefungsaufgabe?,Pruefer um Erlaeuterung bitten.,Raten und hoffen.,Aufgabe ignorieren.,Eigene Aufgabe erfinden.,Abbrechen ohne Meldung.,0,Klaerung verhindert Fehlbearbeitung.,2
q-12-08-1,m12-wiederholung-monate-1-11,Welche Themen wiederholst du fuer ZP aus Monat 1-11?,"SHU, Werkstoffe, Messen, Fertigung, Pneumatik, Materialfluss.",Nur Berichtsheft-Stil.,Nur Fremdsprache.,Nur WiSo.,Nichts wiederholen.,0,ZP umfasst den Stoff des ersten Ausbildungsjahres.,2
q-12-08-2,m12-wiederholung-monate-1-11,Sinnvolle Wiederholung vor ZP?,Nur richtige Fragen.,Gar nicht lernen.,Alles einen Tag vorher.,Pruefungsordnung ignorieren.,Schwache Kategorien in der App gezielt trainieren.,4,Kategoriebezogenes Training zeigt Defizite.,2
q-12-09-1,m12-bze-pvzp,Was ist Ziel der BZE PVZP?,Nur Theorie ohne Praxis.,Urlaubsplanung.,Nur Sprachkurs.,Kein Bezug zur ZP.,Pruefungsvorbereitung auf praktische Zwischenpruefung.,4,BZE bereitet strukturiert auf ZP vor.,2
q-12-09-2,m12-bze-pvzp,Warum PVZP-Kurs sinnvoll?,Nur fuer Meister.,Ohne Maschinenkontakt.,Nur schriftlich.,Pruefungsnahe Situationen unter Anleitung ueben.,Ersetzt alle Pruefungen.,3,Uebung reduziert Pruefungsstress.,2
